titre,joueurs,duree,age,cat,theme,note
Critical - Sanctuaire - Saison 1,2 — 5,30 — 60,14,Jeu De Rôle,"Les îles,Mythologie",7.3
Crossing,3 — 6,15,6,Jeu de plateau,"Abstrait,Champignons,Fantastique,Pierres Précieuses",6.7
Crôa!,2 — 4,20,7,Jeu de tuiles,"Animaux,Grenouilles & Crapauds",7.3
Cubulus,2 — 3,20,8,Jeu de pions,Abstrait,6.7
Cyrano,4 — 9,30,8,Jeu de Cartes,"Lettres,Littérature",7.1
Descendance,2 — 4,90,12,Jeu de plateau,"Médiéval,Temporalité,Vie quotidienne",7.9
Desperados of Dice Town,2 — 4,25,8,Jeu de dés,"Amérique,Far West",7.1
Detective,1 — 5,120 — 180,16,Jeu D'Enquête,"Contemporain,Enquêtes & Mystères",8.1
Deus,2 — 4,60,14,Jeu de plateau,"Antiquité,Empire Romain,Italie,Mythologie",7.9
Diamant,3 — 8,30,8,Jeu de Cartes,"Exploration,Pierres Précieuses",7.1
Diamoniak,2 — 4,15,5,Jeu de Cartes,Magie & Sorcellerie,5.8
Dice Forge,2 — 4,45,10,Jeu de dés,"Fantastique,Mythologie",8.0
Dice Town,2 — 5,45,8,Jeu de dés,"Amérique,Far West",7.3
Die Brücken von Shangrila,3 — 4,45,12,Jeu de plateau,Chine,7.3
District Noir,Duo,15,10,Jeu de Cartes,"Années 50,Polar,Prohibition",7.3
Dixit,3 — 6,30,8,Jeu de Cartes,"Arts,Contes,Humour,Onirique",7.6
Dobble,2 — 8,10,6,Jeu d'Ambiance,Humour,6.7
Dr. Eureka,1 — 4,15,6,Casse-tête,Sciences,7.0
Dracula vs Van Helsing,Duo,30,10,Jeu de Cartes,"Londres,Vampire",7.9
Dune Imperium,1 — 4,60 — 120,14,Jeu de plateau,"Désert,Film & Série,Littérature,Politique,Science-fiction",8.7
Dungeon Petz,2 — 4,90,13,Jeu de plateau,"Fantastique,Humour,Monstres & Créatures",7.6
Dékal,2 — 6,10 — 20,7,Jeu de Cartes,Chiffres,6.9
Edenia,2 — 4,30,8,Jeu de figurines,"Animaux,Course,Espace",6.2
En Route vers les Indes,3 — 4,60,14,Autre,"Colonisation,Commerce,Maritime",6.6
Escape - The Curse of the Temple – Big Box,2 — 5,10,8,Jeu de plateau,Exploration,7.5
Escape ...from the temple Curse,1 — 5,10,8,Jeu de plateau,Exploration,6.6
Eternity,3 — 5,30,10,Jeu de Cartes,Onirique,6.8
Face au Titan,3 — 5,150,8,Jeu d'Ambiance,"Fantastique,Monstres & Créatures",0.0
Fantastic Park,2 — 5,30,8,Jeu de plateau,,5.8
Faraway,2 — 6,20,10,Jeu de Cartes,"Folklore,Saisons",8.0
Fertility,2 — 4,45,10,Jeu de plateau,"Alimentation,Antiquité,Construction,Egypte,Urbanisme",7.7
Flamme Rouge,2 — 4,30,8,Jeu de plateau,"Course,Cyclisme,Sports",7.9
Flick'em UP!,2 — 10,45,8,Jeu D'Adresse,"Amérique,Far West",7.5
Fredericus,2 — 4,40,8,Jeu de plateau,,0.0
Fun Farm,2 — 10,15,6,Autre,"Animaux,Humour",6.3
Garçon !,3 — 10,15,8,Jeu de Cartes,,4.8
Gentlemen Cambrioleurs,2 — 5,45,10,Jeu de plateau,Enquêtes & Mystères,6.7
Gobblet !,Duo,10,7,Jeu de pions,,7.2
Harmonies,1 — 4,30,10,Jeu de plateau,"Animaux,Nature",8.4
Heat,1 — 6,30 — 60,10,Jeu de plateau,"Automobile,Sports",8.2
Hidden Leaders,2 — 6,30,10,Jeu de Cartes,Médiéval,7.0
Huit minutes pour un empire,2 — 5,8,12,Jeu de plateau,"Colonisation,Conquête",6.9
Huuue!,2 — 7,20,8,Jeu de Cartes,"Animaux,Chevaux & Poneys,Course",5.8
I Will Survive,2 — 6,15,8,Jeu d'Ambiance,"Jungle,Survie",4.8
Imagine,3 — 8,30,12,Jeu de Cartes,"Abstrait,Culture générale",7.1
Inis,2 — 4,60,14,Jeu de plateau,"Celtique,Mythologie",8.0
Inis,2 — 4,60 — 120,14,Jeu de plateau,"Celtique,Druides,Mythologie",8.1
Isle of Skye,2 — 5,30 — 50,8,Jeu de tuiles,"Celtique,Économie,Écosse",7.9
It's a Wonderful Kingdom,1 — 2,45 — 60,14,Jeu de Cartes,"Conquête,Médiéval Fantastique",7.2
Jack & le Haricot Magique,2 — 5,20,7,Jeu de dés,"Contes,Enfants,Nature",6.8
Jungle Speed,3 — 7,20,7,Jeu de Cartes,Abstrait,6.2
Jungle Speed Safari,2 — 8,15,5,Jeu d'Ambiance,Animaux,6.0
Kaleidos,2 — 12,60,10,Jeu de lettres,"Lettres,Vocabulaire",7.0
Karuba,2 — 4,30 — 40,8,Jeu de plateau,"Aventure,Jungle",7.6
Kenjin,2 — 4,30,12,Jeu de Cartes,"Asie,Fantastique,Guerre,Japon,Médiéval",6.9
King of Tokyo,2 — 6,30,8,Jeu de Cartes,"Asie,Japon,Monstres & Créatures,Science-fiction,Tokyo,Ville",7.4
Kingdom Builder,2 — 4,30 — 60,8,Jeu de plateau,Médiéval,7.6
Kingdom Run,2 — 4,15,7,Jeu de dés,Animaux,7.1
Kingdomino,2 — 4,15,8,Jeu de tuiles,Médiéval,7.9
Kingz,2 — 5,15,7,Jeu de Cartes,Animaux,4.8
Knarr,2 — 4,30,10,Jeu de Cartes,"Exploration,Maritime,Navigation,Vikings",7.7
Konito?,2 — 12,30,8,Jeu De Connaissances,,6.0
La Città,2 — 5,90,12,Jeu de plateau,Ville,7.4
La Crique des Pirates,3 — 5,60 — 90,8,Jeu de plateau,"Maritime,Pirates",6.7
La Guerre des Moutons,2 — 4,30,7,Jeu de plateau,"Animaux,Chasse,Loups,Moutons",6.6
Le Joueur de flûte,2 — 5,20,8,Jeu de plateau,Contes,6.8
Le Petit Chaperon Rouge,1 — 5,20,7,Jeu de plateau,"Animaux,Contes",6.4
Le Petit Prince - Voyage vers les étoiles,2 — 6,20,6,Autre,Film & Série,5.8
Le Trésor des Mayas,2 — 4,10 — 20,6,Jeu D'Adresse,"Amérique Latine,Exploration,Mayas",7.0
Le clan des loups,2 — 5,75,14,Jeu de plateau,"Animaux,Loups",7.6
Les Aventuriers Du Rail - Paris,2 — 4,10 — 15,8,Jeu de plateau,"Paris,Trains,Transport & voyage,Ville",6.9
Les Hauts Fourneaux,2 — 4,30 — 60,12,Jeu de plateau,"Industrie,Révolution industrielle",7.6
Les Poilus,2 — 5,30,10,Jeu de Cartes,"Guerre,Historique,WW1",7.1
Little Town,2 — 4,45,10,Jeu de plateau,"Construction,Médiéval,Ville",7.6
Living Forest,2 — 4,40,10,Jeu de Cartes,"Animaux,Arbres,Fantastique,Nature",8.0
Longhorn,Duo,15,8,Jeu de plateau,"Animaux,Bovins,Far West",6.6
Loony Quest,2 — 5,20,8,Jeu de plateau,"Fantastique,Jeu vidéo",7.2
Luz,3 — 5,30,10,Jeu de Cartes,Abstrait,7.4
Mafia de Cuba,6 — 12,20,10,Jeu d'Ambiance,"Années 50,Enquêtes & Mystères,Espionnage,Mafia,Pierres Précieuses,Voleur",6.7
Magic Maze,1 — 8,15,8,Jeu de plateau,"Fantastique,Humour,Magie & Sorcellerie,Médiéval",7.2
Manchots Barjots,2 — 5,20,10,Jeu de Cartes,"Animaux,Pingouins & Manchots,Polaire",6.7
Medieval Academy,2 — 5,30,8,Jeu de plateau,"Chevalerie,Médiéval,Scolarité",7.7
Meeple Circus,2 — 5,45,8,Jeu de plateau,Cirque,7.5
Meeple War,2 — 4,60,10,Jeu de plateau,Médiéval,6.5
Metropolys,2 — 4,45,8,Jeu de plateau,"Immobilier,Steampunk,Ville",7.5
Miams,2 — 5,30,10,Jeu de dés,Fruits & légumes,7.3
MicroMacro Crime City - Tricks Town,1 — 4,15 — 45,10,Jeu d'Observation,"Criminalité,Enquêtes & Mystères,Objets,Vie quotidienne,Ville",8.0
Mind Up!,3 — 6,20,8,Jeu de Cartes,Chiffres,7.1
Mission Planète Rouge,2 — 6,60,14,Jeu de plateau,"Astronomie,Espace,Exploration,Mars,Steampunk,Technologie,Transport & voyage",7.7
Misty,2 — 4,15,6,Jeu de Cartes,Monstres & Créatures,6.7
Mojo,3 — 8,30,8,Jeu de Cartes,"Chiffres,Couleurs",6.8
Mombasa,2 — 4,75 — 150,12,Jeu de plateau,"Afrique,Bourse & Finances,Colonisation",8.3
Mon premier Carcassonne,2 — 4,10,4,Jeu de tuiles,"Médiéval,Ville",7.8
Monza,2 — 6,15,5,Jeu de plateau,"Automobile,Course",7.4
Moonshine,2 — 5,20,10,Jeu de Cartes,"Alcool,Animaux,Années Folles,Prohibition",7.2
Nautilus,Duo,25,10,Jeu de Cartes,Maritime,6.7
Nom d'un renard !,2 — 4,20,5,Jeu D'Enquête,"Animaux,Enquêtes & Mystères,Polar,Poules,Renards",7.9
Noé,2 — 5,30,7,Jeu de Cartes,"Animaux,Religions",7.1
Odin,2 — 6,15,7,Jeu de Cartes,Vikings,7.2
Oh mon Château,2 — 4,30,6,Jeu de dés,"Château,Médiéval",7.3
Oliver Twist,2 — 4,45,10,Jeu de plateau,"Contes,Littérature",7.1
Pandemic,1 — 4,45,10,Jeu de plateau,"Catastrophe,Contemporain,Médical,Science-fiction",7.7
Panic Island!,1 — 8,2 — 10,8,Jeu de Cartes,"Animaux,Les îles,Préhistoire,Survie,Volcans",7.0
Pergamon,2 — 4,45,10,Jeu de plateau,"Archéologie,Arts,Musées",6.9
Perudo,2 — 6,20,8,Jeu de dés,"Abstrait,Amérique Latine",7.2
Pickomino,2 — 7,30,8,Jeu de dés,"Abstrait,Animaux",7.2
Pili Pili,2 — 8,20,8,Jeu de Cartes,Alimentation,7.3
Pillards de la mer du Nord,2 — 4,70,12,Jeu de plateau,"Maritime,Médiéval,Vikings",8.2
Pique Plume,2 — 4,30,4,Jeu de plateau,"Animaux,Course",7.4
Piratoons,2 — 4,30,8,Jeu de plateau,Pirates,6.6
Pixies,2 — 5,30,8,Jeu de Cartes,"Animaux,Chiffres,Nature",7.4
Plouf Party,3 — 6,15,6,Jeu d'Ambiance,Loisirs,6.9
Poule Poule,2 — 8,30,8,Jeu de Cartes,"Agriculture,Animaux,Poules",6.8
Quadropolis,2 — 4,30 — 60,8,Jeu de plateau,"Construction,Ville",7.6
Quantum,2 — 4,60,13,Autre,"Colonisation,Espace,Science-fiction,Transport & voyage",7.2
Quarto,Duo,15,8,Jeu de pions,"Abstrait,Couleurs,Formes",7.7
Queendomino,2 — 4,25,8,Jeu de tuiles,Médiéval,7.7
Qwirkle Cubes,2 — 4,30,6,Jeu de plateau,Abstrait,7.2
Rapidcroco,2 — 4,30,7,Jeu de Cartes,"Animaux,Humour",5.1
Rebirth,2 — 4,60,10,Jeu de tuiles,"Écosse,Irlande,Post Apocalypse",8.2
Reichbusters : Projekt Vril,2 — 4,90 — 120,14,Jeu de figurines,"Aventure,Extraterrestre,Fantastique,Guerre,Horreur,Humour,Monstres & Créatures,Nazis,Pulp,Robots & Mechas,WW2,Zombies & Morts Vivants",7.6
Res Arcana,2 — 4,20 — 60,12,Jeu de Cartes,"Fantastique,Magie & Sorcellerie,Médiéval",8.2
Rising sun,3 — 5,90 — 120,14,Jeu de figurines,"Conquête,Fantastique,Japon,Médiéval,Monstres & Créatures,Mythologie",8.4
Rumble in the House,3 — 6,20,8,Jeu de plateau,Fantastique,6.3
Runewars,2 — 4,180 — 240,14,Jeu de plateau,"Fantastique,Médiéval",7.9
SETI,1 — 4,40 — 160,14,Jeu de plateau,"Espace,Extraterrestre,Science-fiction",8.5
Saboteur,2 — 12,30,8,Jeu de Cartes,"Mines,Nains,Pierres Précieuses",6.3
Salade de Cafards,2 — 6,20,6,Jeu d'Ambiance,Fruits & légumes,6.4
Sea Salt & Paper,2 — 4,30,8,Jeu de Cartes,Maritime,7.9
Sea of Clouds,2 — 4,40,10,Jeu de Cartes,Pirates,7.2
Seasons,2 — 4,60,14,Jeu de Cartes,"Fantastique,Magie & Sorcellerie,Saisons",8.1
Shabadabada,4+,30 — 60,8,Jeu d'Ambiance,Musique,5.6
Shadows Amsterdam,2 — 8,30 — 60,10,Jeu d'Ambiance,Polar,7.2
Shitenno,2 — 4,60,12,Jeu de plateau,"Asie,Japon,Médiéval",7.1
Skull & Roses,3 — 6,30,10,Jeu de Cartes,Abstrait,7.0
Skull King,2 — 8,30,8,Jeu de Cartes,Pirates,8.2
Sky Team,Duo,20,12,Jeu de plateau,Aviation,8.4
Small World,2 — 5,75,8,Jeu de plateau,"Colonisation,Exploration,Fantastique,Médiéval,Médiéval Fantastique,Monstres & Créatures,Mythologie",7.6
Small World of Warcraft,2 — 5,40 — 80,10,Jeu de plateau,"Colonisation,Exploration,Fantastique,Jeu vidéo,Médiéval,Médiéval Fantastique,Monstres & Créatures",7.6
Snow Time,3 — 5,30,10,Jeu de plateau,"Fantastique,Onirique",6.8
Solstis,Duo,15,8,Jeu de tuiles,"Montagne,Randonnée,Transport & voyage",7.5
Speech,3 — 12,15,8,Jeu de Cartes,Contes,6.2
Splendor Duel,Duo,30,10,Jeu de Cartes,"Bourse & Finances,Pierres Précieuses,Renaissance",8.2
Squad Seven,2 — 4,20,12,Jeu de Cartes,,6.9
Stand Up !,6 — 24,30,10,Jeu d'Ambiance,"Vie quotidienne,Vocabulaire",6.8
Stand Up ! Saison 2,6 — 24,30,10,Jeu d'Ambiance,"Vie quotidienne,Vocabulaire",8.0
Star Realms,Duo,30 — 60,12,Jeu de Cartes,Science-fiction,8.1
Stupide Vautour,2 — 5,20,8,Jeu de Cartes,"Animaux,Oiseaux,Rapaces",7.2
Sub Terra,1 — 6,60 — 120,10,Jeu de plateau,"Exploration,Fantastique,Horreur,Monstres & Créatures,Spéléologie",8.0
Sylve,2 — 4,60,10,Jeu de plateau,"Fantastique,Nature",7.4
T.I.M.E Stories,2 — 4,90+,12,Jeu de plateau,"Aventure,Enquêtes & Mystères,Folie,Science-fiction,Voyage temporel",7.8
Tadaaam !,4 — 9,30,10,Jeu à Griffonner,"Humour,Magie & Sorcellerie",6.9
Take Time,2 — 4,30,10,Jeu de Cartes,Temporalité,7.9
Takenoko,2 — 4,45,8,Jeu de plateau,"Animaux,Asie,Chine,Climat & Météo,Japon,Jardinage,Nature,Pandas",7.7
The Adventurers : le Temple de Chac,2 — 6,45,10,Jeu de plateau,Exploration,7.1
The Big Idea,3 — 6,25,8,Jeu de Cartes,"Humour,Inventions",6.5
The Island,2 — 4,45,8,Jeu de plateau,"Animaux,Aventure,Baleines,Catastrophe,Les îles,Maritime,Monstres & Créatures,Océan,Requins,Survie,Volcans",7.7
The Line,2 — 10,10 — 15,8,Jeu d'Ambiance,"Chiffres,Culture générale",6.3
The Loop,1 — 4,60,12,Jeu de plateau,"Science-fiction,Technologie,Voyage temporel",8.3
The Phantom Society,2 — 4,20,8,Jeu de plateau,Fantômes & Esprits,5.9
The Resistance,5 — 10,30,13,Jeu d'Ambiance,"Politique,Science-fiction",7.1
The Vale of Eternity,2 — 4,30 — 45,10,Jeu de Cartes,"Fantastique,Monstres & Créatures,Mythologie",8.0
The boss,2 — 6,45,10,Jeu de Cartes,Mafia,7.5
Time's Up! - Édition Jaune,4 — 12,45,12,Jeu d'Ambiance,Culture générale,7.2
Timeline - Événements,2 — 6,30,8,Jeu de Cartes,"Culture générale,Historique",6.9
Tokaido,2 — 5,45,8,Jeu de plateau,"Japon,Paysage,Tourisme,Transport & voyage",7.3
Tokyo Train,4 — 8,15,8,Jeu d'Ambiance,"Asie,Japon,Tokyo,Trains",6.7
Toy Battle,Duo,15,8,Jeu de plateau,Jouets,8.3
Trio,3 — 6,15,7,Jeu de Cartes,"Chiffres,Mexique",7.6
Tropico,2 — 8,20,8,Jeu d'Ambiance,"Animaux,Caméléons,Couleurs,Grenouilles & Crapauds,Papillons,Perroquets",6.4
Trésor des Dragons,2 — 5,15,6,Jeu de Cartes,Fantastique,7.8
Twin It!,2 — 6,15,6,Jeu de Cartes,Abstrait,7.1
Underwater Cities,1 — 4,80 — 150,12,Jeu de plateau,"Maritime,Océan",8.4
Unlock! - Legendary Adventures,1 — 6,60,10,Escape Game,Enquêtes & Mystères,7.9
Unlock! Escape Adventures,1 — 6,60,10,Escape Game,"Enquêtes & Mystères,Polar",7.6
Unlock! Mystery Adventures,1 — 6,60,10,Escape Game,Enquêtes & Mystères,7.4
Uno,2 — 10,30,7,Jeu de Cartes,"Abstrait,Chiffres,Couleurs",6.3
Vendredi 13,3 — 6,30,8,Jeu de Cartes,"Humour,Mythologie",6.4
Vikings Gone Wild,2 — 4,45 — 60,12,Jeu de Cartes,Vikings,7.8
Vikings on board,2 — 4,45,8,Jeu de plateau,"Europe,Navigation,Vikings",7.2
Vindication,2 — 5,45 — 150,13,Jeu de plateau,Fantastique,7.9
Wakanda,Duo,15,8,Autre,Far West,5.6
Wasteland Express Delivery Service,2 — 5,60 — 120,13,Autre,Post Apocalypse,7.7
Wazabi,2 — 6,20,8,Jeu de Cartes,Abstrait,6.2
Win !,5 — 11,30,10,Jeu de Cartes,,4.7
Wingspan,1 — 5,60,10,Jeu de plateau,"Animaux,Nature,Oiseaux",8.5
Wizard,3 — 6,30,10,Jeu de Cartes,,7.7
WuXing,2 — 6,10,8,Jeu d'Ambiance,"Antiquité,Asie,Chine",4.7
Zenith,2 — 4,30,12,Jeu de Cartes,Science-fiction,8.5
À la Carte,2 — 4,40,8,Jeu de plateau,"Alimentation,Cuisine",7.0
